Title,Date,Rating,Review
"Excellent lunch prix fixe",2025-01-03,5,"Great lunch prix fixe — three courses with a glass of house wine. The dishes were fresh, portioned perfectly, and the service was efficient. Cozy interior and a friendly bartender who mixes excellent aperitifs. Perfect for a midday break."
"Cozy neighborhood bistro",2025-01-07,5,"Charming bistro feel and warm service. The duck confit was tender, and the cocktail menu offers inspired combinations. Nicely curated wine list. A lovely place to unwind after work."
"Too noisy for dinner",2025-01-10,3,"Food was enjoyable but the dining room gets loud on weekend evenings; hard to hold a conversation. Cocktails were inventive but overpriced. Worth a visit on a weekday for a quieter experience."
"Fantastic cocktails and food",2025-01-12,5,"Impressed by the cocktail program — balanced, creative drinks that complemented the seasonal menu. The beef bourguignon was rich and well seasoned. Service attentive without being intrusive."
"Underwhelming portion size",2025-01-15,2,"Flavors were fine but portions were small for the price. Cocktails were good but the value felt off. Friendly staff but not enough to justify the cost."
"Perfect spot for a date",2025-01-18,5,"Romantic ambiance, dim lighting, and attentive service made our evening special. The tarte tatin was spectacular and the bar crafted a classic sidecar perfectly. Highly recommended for special occasions."
"Reliable and consistent",2025-01-21,4,"Been coming for months — consistently tasty food and friendly staff. Cocktail menu changes with the seasons, which keeps things interesting. A dependable local favorite."
"Slow service at peak time",2025-01-24,3,"Food arrived well plated and tasty, but service lagged during the dinner rush. Bartender handled the busy bar admirably, though. Will try a weekday visit next time."
"Lovely wine and cheese pairing",2025-01-27,5,"Enjoyed an excellent wine and cheese pairing evening. Staff knowledge showed through and the cocktails between courses were a fun touch. Intimate and well run."
"Not worth the hype",2025-02-01,2,"Beautiful presentation but flavors didn't match expectations. Cocktails were interesting, yet the main course needed more seasoning. Service polite but distant."
"Great for groups",2025-02-03,4,"Spacious enough for a small group dinner and the cocktail pitchers are a hit. French classics executed well and desserts are standout. A bit noisy when full, but fun overall."
"Exceptional bartenders",2025-02-05,5,"The bartenders here take cocktails seriously — inventive, balanced, and beautifully presented. Food matched the high level with a delicious coq au vin. Staff made the night memorable."
"Weekend brunch delight",2025-02-09,4,"Brunch options are creative and the mimosa selection is lovely. The croque madame was perfectly cooked, and the coffee strong. Service is a touch slow but friendly."
"Average bistro fare",2025-02-12,3,"Menu has classic French dishes and a small but solid cocktail list. Nothing revolutionary, but pleasant enough for a casual dinner. A few items felt under-seasoned."
"Lovely terrace seating",2025-02-15,5,"Sat on the terrace and enjoyed the relaxed atmosphere. The cocktails were bright and refreshing, and the salade niçoise was hearty and fresh. Great summer spot."
"Too pricey for portions",2025-02-18,2,"Ordering a few plates added up quickly. The flavors were decent but not exceptional given the price. Cocktail list is creative, but overall value was lacking."
"Warm welcome and good food",2025-02-21,5,"Warm greeting, quick seating, and a wonderful lamb dish. Cocktail menu offered a great aperitif choice and the servers were attentive. We'll be back soon."
"Impressive dessert selection",2025-02-24,5,"Desserts stole the show — perfect crème brûlée and a beautifully balanced mille-feuille. Drinks pair well with sweet finishes. Cozy, well-staffed, and delicious."
"Flaky quiche but slow bussing",2025-02-27,3,"Quiche lorraine was flaky and flavorful, though the table clearing and dessert service took longer than expected. Cocktails were solid and well mixed. Food quality makes a return likely."
"Firm favorite for cocktails",2025-03-02,5,"Cocktails are consistently inventive; the bartender knows his classics too. Food is definitely restaurant quality with delightful seasonal touches. A firm favorite in town."
"Okay for a quick lunch",2025-03-05,4,"Quick service, fresh salad, and a good sandwich option on the lunch menu. They have a nice selection of soft drinks and light cocktails for midday. Comfortable and efficient."
"Rushed meal and tired flavors",2025-03-08,2,"Felt rushed from start to finish, and the main course lacked depth. Cocktails were decent but couldn't salvage the underseasoned dishes. Disappointing experience overall."
"Charming interior, great drinks",2025-03-11,5,"The space is charming with vintage touches, and the cocktail menu is adventurous. Food was flavorful and balanced. Staff were knowledgeable about pairings."
"Cocktails overshadow the food",2025-03-14,3,"Cocktails were top-notch but some mains felt mediocre in comparison. Service was friendly but inconsistent. A great bar with an ambitious kitchen that needs polishing."
"Wonderful birthday dinner",2025-03-17,5,"Celebrated a birthday here and everything was wonderful — attentive staff, personalized dessert, and excellent cocktails. The duck was a highlight. Highly recommend for celebrations."
"Disappointing steak frites",2025-03-20,2,"Ordered steak frites and the steak arrived overcooked and a bit chewy. Fries were fine. Cocktails were creative but the main course let the meal down."
"Bright, modern bistro",2025-03-23,4,"Bright decor, modern take on French classics, and a nice cocktail list. Portions are reasonable and service attentive. A pleasant discovery."
"Hit-and-miss tasting menu",2025-03-26,3,"Tasting menu had some brilliant dishes and a few misses. Cocktail pairings were thoughtful, though some courses were underseasoned. Worth trying but temper expectations."
"Lovely late-night spot",2025-03-29,5,"Great place for a late drink and light bites. Bartender mixes a fantastic martini and the cheese plate paired well. Cozy atmosphere makes it ideal for nightcaps."
"Staff seemed inexperienced",2025-04-01,2,"Service felt inexperienced and some dishes came out lukewarm. Cocktails were a saving grace, but the overall experience needs better training and attention to detail."
"Superb wine and cocktails",2025-04-04,5,"Excellent wine list and a creative cocktail program. The chef knows balance — flavors were bright and refined. Service was knowledgeable and helpful with recommendations."
"Casual and friendly",2025-04-07,4,"Casual vibe with friendly staff and steady food quality. Cocktails are inventive without being gimmicky. A reliable local option for dinner."
"Pleasant lunch atmosphere",2025-04-10,4,"Lunch was calm and quick, with a satisfying salade composée and a small but well-made cocktail menu. Good value during midday hours."
"Food arrived cold",2025-04-13,1,"Several dishes arrived cold and the kitchen seemed overwhelmed. Cocktails were decent but not enough to redeem the meal. Would not return unless management addresses quality control."
"Perfect for anniversaries",2025-04-16,5,"Romantic setting, attentive service, and outstanding desserts made our anniversary special. Cocktail service was polished and creative. Highly recommended for couples."
"Nice selection of aperitifs",2025-04-19,4,"Loved the aperitif choices and small plates were perfect for sharing. Cocktails were balanced and the bartender offered excellent suggestions. A bit tight on space but charming."
"Busy but efficient",2025-04-22,4,"Very busy night but staff remained efficient and polite. Cocktails flowed smoothly and mains were flavorful. Expect some noise but great energy."
"Confusing menu descriptions",2025-04-25,3,"Menu descriptions were vague leading to confusion about portions and sides. Food itself was decent and drinks were well made. Clarifying the menu would help."
"Lovely sour cocktails",2025-04-28,5,"The sour-style cocktails were exceptional — perfectly balanced citrus and spirit. Food matched the bar's quality, with thoughtful execution and fresh ingredients."
"Overly sweet cocktails",2025-05-01,2,"Cocktails leaned too sweet for my taste and masked subtle flavors of the spirits. Food was average; service polite but not proactive. Not a favorite."
"Brilliant pastry chef",2025-05-04,5,"Desserts are next-level. The mille-feuille was delicate and the plated desserts were beautiful. Drinks are well chosen and the cocktail team is skilled. A must for dessert lovers."
"Good for business lunches",2025-05-07,4,"Quiet during weekday lunch with a competent prix fixe menu and quick service. Cocktails are available but best saved for after work. Clean, professional atmosphere."
"Patchy service tonight",2025-05-10,3,"Some courses arrived promptly while others lagged. Drinks were excellent but inconsistent timing affected the rhythm of the meal. Food itself was pleasant when it arrived."
"Exceptional cheese board",2025-05-13,5,"The cheese board was thoughtfully curated with local and imported selections. Cocktails complemented the flavors. Staff were knowledgeable and offered great pairing advice."
"Too formal for the price",2025-05-16,2,"Felt like they were aiming for fine dining without the execution. Service was stiff and the experience felt contrived. Cocktails were decent but expensive. Left underwhelmed."
"Fresh seafood specials",2025-05-19,5,"Seasonal seafood specials were fresh and flavorful, and the bartender suggested a cocktail that elevated the flavors. Great spot for seafood and drinks."
"Small plates are shareable",2025-05-22,4,"Small plates are well designed for sharing with a friend or two. Cocktails are strong and perfectly crafted. A convivial place to gather."
"Long wait for dessert",2025-05-25,3,"Main courses were excellent but dessert took a long time to arrive. Cocktails were impressive though, which made waiting more bearable. Service should mind timing."
"Lovely historic setting",2025-05-28,5,"Restaurant has a beautiful historic interior, and the staff play up the charm nicely. Drinks are creative and food is consistently tasty. A memorable evening."
"Disappointing take on classics",2025-05-31,2,"Some classic dishes lacked authenticity and soul. Cocktails had flair but couldn't compensate. Staff were polite but kitchen execution needs work."
"Fantastic rosé selection",2025-06-03,5,"Rosé list is extensive and thoughtfully curated. Light summer dishes paired beautifully and cocktails were bright. Perfect place for a warm evening out."
"Good vegetarian options",2025-06-06,4,"Vegetarian choices are considered and flavorful, not an afterthought. Cocktails include non-alcoholic twists as well. Friendly staff and pleasant atmosphere."
"Bar area gets crowded",2025-06-09,3,"Bar area becomes very crowded and loud on weekends, making it hard to get the bartender's attention. Food was pleasant and cocktails well made once ordered."
"Excellent afternoon tea alternative",2025-06-12,5,"They offer a lovely afternoon menu with French pastries and a selection of light cocktails. Perfect for a relaxed mid-afternoon treat with friends."
"Service rushed us out",2025-06-15,2,"Felt rushed from the moment we sat. Courses came quickly and servers seemed eager to clear the table. Food was decent but the pace ruined the experience."
"Creative seasonal cocktails",2025-06-18,5,"Cocktail menu changes with seasons and showcases great creativity. Food is fresh and the staff can recommend pairings confidently. Always a pleasure."
"Nice for solo dining",2025-06-21,4,"Comfortable for solo diners with a good bar menu and friendly bartenders. Smaller plates work well for one, and cocktails are a treat."
"Overly salty main",2025-06-24,2,"Main course was too salty and overwhelmed the other flavors. Cocktails were generous but couldn't save the meal. Management offered to replace the dish, which was appreciated."
"Wonderful staff hospitality",2025-06-27,5,"Staff went above and beyond to accommodate dietary needs and made personalized recommendations. Drinks were excellent and food felt thoughtfully prepared."
"Good late-night cocktails",2025-07-01,4,"Bar stays open late with a concise food menu perfect for nightcaps. Cocktails are well executed and dessert options are delightful. Cozy vibe."
"Not enough vegetarian desserts",2025-07-04,3,"Vegetarian mains were satisfying but dessert options were limited for non-egg or dairy-free diets. Cocktails were creative and the service was attentive."
"Brilliant use of local produce",2025-07-07,5,"Menu highlights local produce in clever preparations. Cocktails incorporate seasonal fruits wonderfully. A restaurant that respects ingredients and craft."
"Confusing bill",2025-07-10,2,"Our bill had errors and it took time to resolve. Food was fine and drinks tasty, but the billing experience was frustrating. Needs better check procedures at the register."
"Perfect espresso and digestifs",2025-07-13,5,"Excellent espresso to finish and a solid selection of digestifs. The whole meal felt composed and thoughtful, from starters to petit fours."
"Fun cocktail flights",2025-07-16,4,"Loved the cocktail tasting flights which allowed us to sample a variety of the bar's style. Food held up well and service was knowledgeable. A lively evening."
"Overly cramped seating",2025-07-19,3,"Tables are quite close together which makes it feel a bit cramped. Food quality is good and cocktails are well prepared, but the layout impacts comfort."
"Gorgeous plating",2025-07-22,5,"Plating is beautiful and flavors match the presentation. Cocktails arrive with the same attention to detail. Dining experience felt special from start to finish."
"Service was inattentive",2025-07-25,2,"Servers seemed distracted and we had to ask multiple times for refills and the dessert menu. Food was tasty but service affected the enjoyment."
"Excellent bread and butter",2025-07-28,5,"Warm house bread with cultured butter set the tone. Cocktails were balanced and mains were executed precisely. A wonderful dining experience overall."
"Good for quick bites",2025-07-31,4,"Great spot to pop in for a quick bite and a drink. The bar service is fast and the small plates are satisfying. Not a long lingering place on busy nights."
"Too many cocktail gimmicks",2025-08-03,2,"Some cocktails felt more like a gimmick than balanced drinks. Food was okay but lacked consistency. Staff were friendly but the menu needs refining."
"Lovely bar staff",2025-08-06,5,"Bar staff were welcoming and made excellent recommendations. Cocktails were perfectly balanced and paced. Food was complementary and well executed. Highly recommend."
